,Ph,Ti,Ta,Th
2020-01-04 23:00:00+00:00,0,19.05,6.8,9.9
2020-01-05 00:00:00+00:00,0,18.9875,6.7,9.4
2020-01-05 01:00:00+00:00,0,18.9,6.8,13.15
2020-01-05 02:00:00+00:00,0,18.8125,6.8,11.4
2020-01-05 03:00:00+00:00,0,18.75,6.8,10.1
2020-01-05 04:00:00+00:00,0,18.6875,6.8,9.05
2020-01-05 05:00:00+00:00,0,18.5875,6.7,8.35
2020-01-05 06:00:00+00:00,0,18.5125,6.6,7.7
2020-01-05 07:00:00+00:00,0,18.4375,6.4,7.1
2020-01-05 08:00:00+00:00,0,18.3625,6.3,6.7
2020-01-05 09:00:00+00:00,0,18.325,6.4,6.4
2020-01-05 10:00:00+00:00,0,18.275,7,6.1
2020-01-05 11:00:00+00:00,0,18.2375,7.7,5.95
2020-01-05 12:00:00+00:00,0,18.175,8.1,5.9
2020-01-05 13:00:00+00:00,0,18.1375,8.2,5.8
2020-01-05 14:00:00+00:00,0,18.0875,8.2,5.85
2020-01-05 15:00:00+00:00,0,18.025,8.2,5.7
2020-01-05 16:00:00+00:00,0,17.9875,8,5.75
2020-01-05 17:00:00+00:00,0,17.9,7.9,5.7
2020-01-05 18:00:00+00:00,0,17.8625,7.8,5.5
2020-01-05 19:00:00+00:00,0,17.8125,7.8,5.45
2020-01-05 20:00:00+00:00,0,17.7375,7.7,5.4
2020-01-05 21:00:00+00:00,0,17.6875,7.6,5.25
2020-01-05 22:00:00+00:00,0,17.625,7.6,5.25
2020-01-05 23:00:00+00:00,0,17.575,7.6,5.15
2020-01-06 00:00:00+00:00,0,17.5,7.6,5.15
2020-01-06 01:00:00+00:00,0,17.45,7.6,5.05
2020-01-06 02:00:00+00:00,0,17.425,7.4,4.95
2020-01-06 03:00:00+00:00,118.244871,17.3625,7.2,4.85
2020-01-06 04:00:00+00:00,84.0852416,17.5,7.2,62.45
2020-01-06 05:00:00+00:00,60.4362674,17.8125,6.9,67.6
2020-01-06 06:00:00+00:00,60.4362674,18.0125,6.6,70.3
2020-01-06 07:00:00+00:00,70.9469226,18.5125,6.5,59.6
2020-01-06 08:00:00+00:00,70.9469226,18.9,6.5,58.35
2020-01-06 09:00:00+00:00,94.5958968,19.2125,6.6,63.85
2020-01-06 10:00:00+00:00,70.9469226,19.7125,7,64.25
2020-01-06 11:00:00+00:00,52.553276,20.1375,7.4,63.35
2020-01-06 12:00:00+00:00,47.2979484,20.2625,7.6,64.55
2020-01-06 13:00:00+00:00,65.691595,20.375,8.4,57.8
2020-01-06 14:00:00+00:00,44.6702846,20.5375,8.1,60.15
2020-01-06 15:00:00+00:00,42.0426208,20.475,8.2,61.8
2020-01-06 16:00:00+00:00,23.6489742,20.5125,8,58.7
2020-01-06 17:00:00+00:00,0,20.4875,8,50.8
2020-01-06 18:00:00+00:00,0,20.3,8.2,38.45
2020-01-06 19:00:00+00:00,0,20.0625,8.5,30.35
2020-01-06 20:00:00+00:00,0,19.875,8.1,24.85
2020-01-06 21:00:00+00:00,0,19.7,7.3,20.55
2020-01-06 22:00:00+00:00,0,19.5125,6.8,17.9
2020-01-06 23:00:00+00:00,0,19.375,6.5,15.45
2020-01-07 00:00:00+00:00,0,19.25,6.1,13.7
2020-01-07 01:00:00+00:00,0,19.1375,5.8,12.15
2020-01-07 02:00:00+00:00,0,19.0125,5.5,10.85
2020-01-07 03:00:00+00:00,76.2022502,18.8875,5.2,9.75
2020-01-07 04:00:00+00:00,55.1809398,18.825,5,74.1
2020-01-07 05:00:00+00:00,55.1809398,19.0125,5.4,71.1
2020-01-07 06:00:00+00:00,60.4362674,19.225,5.6,71.95
2020-01-07 07:00:00+00:00,73.5745864,19.5,6,62.25
2020-01-07 08:00:00+00:00,70.9469226,19.9375,6.5,63.7
2020-01-07 09:00:00+00:00,76.2022502,20.25,7.4,64.8
2020-01-07 10:00:00+00:00,47.2979484,20.5375,8.3,60.9
2020-01-07 11:00:00+00:00,36.7872932,20.7125,9.1,50.85
2020-01-07 12:00:00+00:00,34.1596294,20.825,10.4,48.45
2020-01-07 13:00:00+00:00,26.276638,21,11.7,39.2
2020-01-07 14:00:00+00:00,23.6489742,20.9,11.2,43.7
2020-01-07 15:00:00+00:00,31.5319656,20.9375,10.9,41.7
2020-01-07 16:00:00+00:00,21.0213104,20.9625,10.5,39.95
2020-01-07 17:00:00+00:00,13.138319,21.0125,10.8,35.8
2020-01-07 18:00:00+00:00,21.0213104,20.925,11.5,32.65
2020-01-07 19:00:00+00:00,0,20.8125,11.9,45.75
2020-01-07 20:00:00+00:00,0,20.6875,12,36.15
2020-01-07 21:00:00+00:00,0,20.5375,12.1,29.65
2020-01-07 22:00:00+00:00,0,20.4,12.2,25.15
2020-01-07 23:00:00+00:00,0,20.275,12.4,21.65
2020-01-08 00:00:00+00:00,0,20.175,12.3,19
2020-01-08 01:00:00+00:00,0,20.1,12.1,17
2020-01-08 02:00:00+00:00,0,19.9875,12,15.45
2020-01-08 03:00:00+00:00,0,19.95,12,14.25
2020-01-08 04:00:00+00:00,68.3192588,19.875,12.1,13.45
2020-01-08 05:00:00+00:00,34.1596294,19.8875,12.1,48.35
2020-01-08 06:00:00+00:00,47.2979484,19.8875,11.9,49.75
2020-01-08 07:00:00+00:00,28.9043018,20.0125,11.6,49.95
2020-01-08 08:00:00+00:00,47.2979484,20.125,11.3,52.15
2020-01-08 09:00:00+00:00,68.3192588,20.3375,11.2,51.6
2020-01-08 10:00:00+00:00,42.0426208,20.8375,11.4,44.4
2020-01-08 11:00:00+00:00,31.5319656,21.0125,12,44.25
2020-01-08 12:00:00+00:00,21.0213104,21.1125,12.6,33.8
2020-01-08 13:00:00+00:00,18.3936466,21.15,12.3,32.2
2020-01-08 14:00:00+00:00,28.9043018,21.2375,12.4,30.1
2020-01-08 15:00:00+00:00,21.0213104,21.2875,12.3,29.9
2020-01-08 16:00:00+00:00,10.5106552,21.325,11.7,30.4
2020-01-08 17:00:00+00:00,0,21.3875,11.2,27.65
2020-01-08 18:00:00+00:00,0,21.2625,10.9,25.55
2020-01-08 19:00:00+00:00,0,21.125,10.8,22.1
2020-01-08 20:00:00+00:00,0,20.95,10.6,20.1
2020-01-08 21:00:00+00:00,0,20.8,10.4,18.05
2020-01-08 22:00:00+00:00,0,20.7,10.3,16.55
2020-01-08 23:00:00+00:00,0,20.575,10.1,15.25
2020-01-09 00:00:00+00:00,0,20.475,10.2,13.9
2020-01-09 01:00:00+00:00,0,20.4,10.8,13.2
2020-01-09 02:00:00+00:00,0,20.3125,11.3,12.5
2020-01-09 03:00:00+00:00,0,20.2375,11.6,11.9
2020-01-09 04:00:00+00:00,73.5745864,20.175,11.9,11.2
2020-01-09 05:00:00+00:00,23.6489742,20.15,12.2,48.1
2020-01-09 06:00:00+00:00,42.0426208,20.125,12.1,49.4
2020-01-09 07:00:00+00:00,28.9043018,20.25,12.1,47.6
2020-01-09 08:00:00+00:00,44.6702846,20.325,12,47.35
2020-01-09 09:00:00+00:00,63.0639312,20.3875,11.4,53.05
2020-01-09 10:00:00+00:00,34.1596294,20.875,11.4,44.95
2020-01-09 11:00:00+00:00,31.5319656,21.1625,11.7,40.15
2020-01-09 12:00:00+00:00,26.276638,21.425,12.1,35.1
2020-01-09 13:00:00+00:00,15.7659828,21.675,13.5,29.2
2020-01-09 14:00:00+00:00,21.0213104,21.6,13.1,30.05
2020-01-09 15:00:00+00:00,21.0213104,21.6,12.7,29.1
2020-01-09 16:00:00+00:00,13.138319,21.675,12.2,29.6
2020-01-09 17:00:00+00:00,0,21.675,11.5,27.05
2020-01-09 18:00:00+00:00,0,21.5625,11,25
